appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,Sexual-content,corrected_owners,total_ratings,multiplayer
623090,BAJA: Edge of Control HD,2017-09-14,1,2XL Games;Blitworks,THQ Nordic,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards,Racing;Sports,Racing;Sports;Offroad,49,100,26,0,0,0-20000,24.99,0,10000.0,79.36507936507937,1
624090,Football Manager 2018,2017-11-09,1,Sports Interactive,SEGA,windows;mac;linux,0,Single-player;Multi-player;Steam Achievements;Steam Workshop;Steam Cloud;Steam Leaderboards,Simulation;Sports,Sports;Simulation;Management,77,4399,2466,19379,23360,1000000-2000000,37.99,0,1500000.0,64.07865986890022,1
625980,Yomawari: Midnight Shadows / 深夜廻,2017-10-24,1,"Nippon Ichi Software, Inc.","NIS America, Inc.",windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Strategy,Adventure;Strategy;Horror,33,207,7,0,0,0-20000,29.99,0,10000.0,96.72897196261682,0
626610,TT Isle of Man,2018-03-27,1,KT Racing,Bigben Interactive,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Racing;Simulation,Simulation;Racing;Multiplayer,31,463,205,0,0,20000-50000,34.99,0,35000.0,69.311377245509,1
626690,Sword Art Online: Fatal Bullet,2018-02-23,1,DIMPS,BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Action;RPG,Anime;RPG;Character Customization,63,5654,2082,1413,1779,200000-500000,34.99,0,350000.0,73.08686659772492,0
627270,Injustice™ 2,2017-11-30,1,NetherRealm Studios;QLOC,WB Games,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,Action,Fighting;Action;Superhero,74,3673,938,103,163,200000-500000,39.99,0,350000.0,79.65734114075038,1
627450,RUGBY 18,2017-10-27,1,Eko Software,Bigben Interactive,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Sports,Sports,23,30,45,0,0,0-20000,29.99,0,10000.0,40.0,1
628070,Romance of the Three Kingdoms 11 with Power Up Kit / 三國志11 with パワーアップキット,2018-01-16,0,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Cloud,Strategy,Strategy;Historical;Turn-Based Strategy,0,481,67,1336,1336,20000-50000,30.99,0,35000.0,87.77372262773723,0
628890,NOBUNAGA'S AMBITION: Taishi / 信長の野望･大志,2017-11-29,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Simulation,Simulation;Historical;Strategy,37,158,305,0,0,50000-100000,49.99,0,75000.0,34.12526997840173,0
629650,Symphonic Rain,2017-06-14,1,KOGADO STUDIO,Degica,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure,Visual Novel;Great Soundtrack;Music,13,238,10,0,0,0-20000,29.99,0,10000.0,95.96774193548387,0
631510,Devil May Cry HD Collection,2018-03-13,1,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",windows,16,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action,Action;Hack and Slash;Character Action Game,99,1217,211,125,146,50000-100000,24.99,0,75000.0,85.22408963585434,0
632350,Cyberdimension Neptunia: 4 Goddesses Online | 四女神オンライン CYBER DIMENSION NEPTUNE | 四女神ONLINE 幻次元遊戲戰機少女,2018-02-27,1,IDEA FACTORY;COMPILE HEART;TAMSOFT,Idea Factory International,windows,0,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG,Anime;RPG;JRPG,50,2953,418,59,59,100000-200000,30.99,0,150000.0,87.60011865915158,0
632800,Beyond Eden,2017-10-06,1,Studio Pieplus,Studio Pieplus,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Sexual Content;Nudity;Adventure;Indie,Sexual Content;Visual Novel;Nudity,18,61,8,0,0,0-20000,27.79,1,10000.0,88.40579710144928,0
633230,NARUTO TO BORUTO: SHINOBI STRIKER,2018-08-30,1,Soleil Ltd.,BANDAI NAMCO Entertainment,windows,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Partial Controller Support,Action,Action;Anime;Multiplayer,48,1937,1574,417,696,50000-100000,39.99,0,75000.0,55.169467388208496,0
635940,Little Busters! English Edition,2017-11-01,1,VisualArts/Key,VisualArts,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual;Simulation,Visual Novel;Anime;Story Rich,27,329,4,0,0,0-20000,27.79,0,10000.0,98.7987987987988,0
636570,Nights of Azure 2: Bride of the New Moon / よるのないくに２ ～新月の花嫁～,2017-10-24,1,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Steam Achievements;Partial Controller Support,RPG,RPG;Sexual Content;Anime,52,170,49,0,0,0-20000,49.99,1,10000.0,77.6255707762557,0
637090,BATTLETECH,2018-04-24,1,Harebrained Schemes,Paradox Interactive,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Adventure;Strategy,Strategy;Mechs;Turn-Based,128,8238,2953,1641,1653,500000-1000000,34.99,0,750000.0,73.61272451076758,1
637100,Sonic Forces,2017-11-07,1,Sonic Team;Hardlight,SEGA,windows,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure,Great Soundtrack;Adventure;Character Customization,48,2156,1045,0,0,100000-200000,34.99,0,150000.0,67.35395189003437,0
637650,FINAL FANTASY XV WINDOWS EDITION,2018-03-06,1,Square Enix,Square Enix,windows,16,Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,RPG,RPG;Open World;JRPG,97,13789,4046,851,701,500000-1000000,34.99,0,750000.0,77.31426969442109,1
637670,Secret of Mana,2018-02-15,1,Square Enix,Square Enix,windows,7,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;RPG,JRPG;RPG;Singleplayer,37,936,518,244,244,50000-100000,29.99,0,75000.0,64.37414030261348,1
638930,Dal Segno,2017-06-30,1,Circus,MangaGamer,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Nudity;Adventure,Nudity;Adventure;Visual Novel,0,54,6,0,0,0-20000,29.99,0,10000.0,90.0,0
640590,The LEGO® NINJAGO® Movie Video Game,2017-10-13,1,Traveller's Tales;TT Games,Warner Bros. Interactive Entertainment,windows,0,Single-player;Local Multi-Player;Local Co-op;Steam Achievements;Full controller support,Action,Action;LEGO;Ninja,50,196,41,0,0,0-20000,24.99,0,10000.0,82.70042194092827,0
640820,Pathfinder: Kingmaker,2018-09-25,1,Owlcat Games,Deep Silver,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,RPG,RPG;Fantasy;Singleplayer,67,6063,2426,1642,1751,200000-500000,34.99,0,350000.0,71.42184002827187,0
644710,Gary Grigsby's War in the West,2017-08-03,1,2by3 Games,Slitherine Ltd.,windows,0,Single-player;Multi-player;Shared/Split Screen,Simulation,Simulation;World War II;Strategy,0,55,4,0,0,0-20000,60.99,0,10000.0,93.22033898305084,1
645730,RESONANCE OF FATE™/END OF ETERNITY™ 4K/HD EDITION,2018-10-17,1,tri-Ace,tri-Ace,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,RPG,RPG;JRPG;Story Rich,47,291,56,1711,1711,0-20000,27.79,0,10000.0,83.86167146974063,0
